time orb_separation a
  10.00000   75.18231 1143.01455
  20.00000   71.78693  191.01264
  30.00000   65.59604 2819.31374
  40.00000   58.47234  606.64707
  50.00000   53.08491  290.11662
  60.00000   43.78418  119.60784
  70.00000   17.11609   28.60178
  80.00000   10.48068   11.28472
  90.00000    7.44037    7.46215
 100.00000    6.87923    6.76370
 110.00000    6.77161    6.70592
 120.00000    6.80491    6.82432
 130.00000    6.98260    7.00592
 140.00000    7.08891    7.02178
 150.00000    7.05973    7.02819
 160.00000    6.97368    7.04013
 170.00000    7.13127    7.18921
 180.00000    7.34611    7.29933
 190.00000    7.33251    7.40958
 200.00000    7.56580    7.48712
 210.00000    7.54183    7.59463
 220.00000    7.66860    7.68189
 230.00000    7.85230    7.78855
 240.00000    7.85385    7.84237
 250.00000    7.79796    7.83807
 260.00000    7.80788    7.82515
 270.00000    7.85419    7.81591
 280.00000    7.83541    7.81089
 290.00000    7.78143    7.80080
 300.00000    7.78154    7.79383
 310.00000    7.80776    7.77904
 320.00000    7.78658    7.77135
 330.00000    7.74757    7.76438
 340.00000    7.75878    7.75597
 350.00000    7.77808    7.75385
 360.00000    7.74870    7.74600
 370.00000    7.72348    7.74084
 380.00000    7.75563    7.73700
 390.00000    7.75553    7.73565
 400.00000    7.70782    7.72988
 410.00000    7.73068    7.72518
 420.00000    7.75331    7.72324
 430.00000    7.70638    7.72113
 440.00000    7.70933    7.71770
 450.00000    7.74419    7.71468
 460.00000    7.70985    7.71308
 470.00000    7.69397    7.70873
 480.00000    7.72977    7.70295
 490.00000    7.70549    7.69885
 500.00000    7.67646    7.69773
 510.00000    7.71717    7.69390
 520.00000    7.70112    7.69010
 530.00000    7.66695    7.68700
 540.00000    7.70119    7.68282
 550.00000    7.69681    7.68087
 560.00000    7.65524    7.67654
 570.00000    7.69071    7.67388
 580.00000    7.68644    7.67071
 590.00000    7.64544    7.66801
 600.00000    7.68497    7.66365
 610.00000    7.66801    7.65864
 620.00000    7.63658    7.65594
 630.00000    7.67741    7.65213
 640.00000    7.64945    7.64925
 650.00000    7.63484    7.64672
 660.00000    7.67048    7.64328
 670.00000    7.63077    7.64042
 680.00000    7.63711    7.63897
 690.00000    7.66287    7.63852
 700.00000    7.61900    7.63471
 710.00000    7.64182    7.63159
 720.00000    7.64769    7.63130
 730.00000    7.61242    7.62854
 740.00000    7.64643    7.62786
 750.00000    7.63000    7.62488
 760.00000    7.60780    7.62020
 770.00000    7.64118    7.61833
 780.00000    7.61101    7.61610
 790.00000    7.61031    7.61357
 800.00000    7.63136    7.61082
