time orb_separation a
  10.00000   39.92649   50.23238
  20.00000   18.20355   20.03418
  30.00000   13.51845   13.63819
  40.00000   11.19982   10.06824
  50.00000    8.96699    8.28153
  60.00000    7.27851    7.82795
  70.00000    7.31036    7.57520
  80.00000    7.34577    7.46532
  90.00000    6.95889    7.14337
 100.00000    6.98485    6.86490
 110.00000    6.82768    6.67236
 120.00000    6.65732    6.53699
 130.00000    6.65157    6.51163
 140.00000    6.65797    6.55185
 150.00000    6.70146    6.58073
 160.00000    6.73416    6.60354
 170.00000    6.81245    6.67011
 180.00000    6.74678    6.70042
 190.00000    6.60886    6.76356
 200.00000    6.87313    6.83589
 210.00000    6.93939    6.84590
 220.00000    6.73082    6.86731
 230.00000    7.04641    6.88955
 240.00000    6.75145    6.88951
 250.00000    7.03534    6.90523
 260.00000    6.78988    6.90044
 270.00000    6.98166    6.89177
 280.00000    6.84169    6.87987
 290.00000    6.86843    6.87027
 300.00000    6.94585    6.86329
 310.00000    6.73808    6.85631
 320.00000    6.98883    6.84937
 330.00000    6.75158    6.84243
 340.00000    6.85474    6.83555
 350.00000    6.91924    6.82968
 360.00000    6.69367    6.82425
 370.00000    6.91838    6.81554
 380.00000    6.82869    6.80918
 390.00000    6.68811    6.80196
 400.00000    6.91096    6.79534
 410.00000    6.80783    6.79310
 420.00000    6.66979    6.78710
 430.00000    6.87728    6.78260
 440.00000    6.83901    6.77806
 450.00000    6.65030    6.77627
 460.00000    6.79930    6.76995
 470.00000    6.88646    6.76510
 480.00000    6.68863    6.75994
 490.00000    6.66887    6.75604
 500.00000    6.85007    6.75158
 510.00000    6.70811    6.76255
 520.00000    6.90282    6.76010
 530.00000    6.77748    6.75655
 540.00000    6.61063    6.75270
 550.00000    6.77146    6.74988
 560.00000    6.89078    6.74728
 570.00000    6.72335    6.74472
 580.00000    6.60381    6.74199
 590.00000    6.76869    6.73975
 600.00000    6.88084    6.73701
 610.00000    6.74166    6.73289
 620.00000    6.59483    6.73031
 630.00000    6.68514    6.72827
 640.00000    6.84423    6.72512
 650.00000    6.82381    6.72274
 660.00000    6.65408    6.72215
 670.00000    6.59348    6.71981
 680.00000    6.72855    6.71821
 690.00000    6.85287    6.71682
 700.00000    6.78846    6.71441
 710.00000    6.62231    6.71252
 720.00000    6.58307    6.70935
 730.00000    6.71950    6.70677
 740.00000    6.84150    6.70639
 750.00000    6.79451    6.70378
 760.00000    6.64368    6.70353
 770.00000    6.57030    6.70136
 780.00000    6.66151    6.70065
 790.00000    6.80304    6.70057
 800.00000    6.82832    6.69920
